               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.01166,           0.0067468,           0.0041201,             0.97409,             0.89835,              0.9902,             0.79165,            0.012085,           0.0078852,           0.0042547,           0.0012141,           0.0012141,           0.0012141
                  77,            0.012447,           0.0074934,           0.0042822,             0.97355,             0.89868,              0.9902,             0.79383,            0.012089,           0.0078911,           0.0042513,           0.0011858,           0.0011858,           0.0011858
                  78,            0.010269,           0.0069182,           0.0044139,             0.97514,             0.89893,              0.9902,             0.80056,            0.012063,           0.0078635,           0.0041943,           0.0011574,           0.0011574,           0.0011574
                  79,             0.01198,           0.0071074,           0.0040317,             0.97588,             0.89871,              0.9902,             0.80535,            0.011974,           0.0078595,            0.004176,           0.0011291,           0.0011291,           0.0011291
                  80,            0.012084,           0.0076911,           0.0043542,             0.97504,             0.89899,              0.9902,             0.80467,            0.012033,           0.0078783,           0.0041923,           0.0011008,           0.0011008,           0.0011008
                  81,            0.011694,            0.008353,           0.0045865,             0.97586,             0.89837,              0.9902,             0.78979,            0.012062,           0.0078714,           0.0042102,           0.0010724,           0.0010724,           0.0010724
                  82,            0.011429,            0.007305,           0.0038102,             0.97478,             0.89971,              0.9902,             0.78981,            0.012035,           0.0078457,           0.0042245,           0.0010441,           0.0010441,           0.0010441
                  83,            0.012058,           0.0067884,           0.0043031,             0.97509,             0.89901,              0.9902,             0.78296,            0.011983,           0.0078329,           0.0042315,           0.0010157,           0.0010157,           0.0010157
                  84,            0.011378,           0.0069972,           0.0042336,             0.97313,             0.90054,              0.9902,             0.77696,            0.012028,           0.0078516,           0.0042305,          0.00098737,          0.00098737,          0.00098737
                  85,            0.011188,           0.0064398,           0.0039055,             0.97171,             0.90262,              0.9902,             0.79913,            0.011938,           0.0078447,           0.0042181,          0.00095903,          0.00095903,          0.00095903
                  86,            0.011491,           0.0066087,           0.0041579,             0.97369,             0.90162,              0.9902,             0.80519,            0.011942,           0.0078447,           0.0042171,          0.00093068,          0.00093068,          0.00093068
                  87,            0.012265,           0.0081884,           0.0040263,             0.97232,             0.90305,              0.9902,             0.80945,            0.011877,           0.0078388,           0.0041948,          0.00090234,          0.00090234,          0.00090234
                  88,             0.01184,           0.0073142,           0.0040935,             0.97318,             0.90266,              0.9902,             0.79873,            0.011818,            0.007824,           0.0041765,          0.00087399,          0.00087399,          0.00087399
                  89,            0.011224,            0.006874,           0.0041874,             0.97333,               0.902,              0.9902,             0.80058,            0.011827,           0.0078497,           0.0041383,          0.00084565,          0.00084565,          0.00084565
                  90,            0.011273,           0.0066705,           0.0047726,             0.97404,             0.90096,             0.99233,             0.81207,            0.011817,           0.0078477,           0.0041265,           0.0008173,           0.0008173,           0.0008173
                  91,            0.011402,           0.0066753,           0.0040928,             0.88856,             0.98618,             0.99233,             0.82835,             0.01173,           0.0078339,           0.0040467,          0.00078896,          0.00078896,          0.00078896
                  92,            0.011403,           0.0077168,           0.0038685,             0.88869,             0.98969,             0.99233,             0.81447,            0.011721,           0.0078408,           0.0040334,          0.00076061,          0.00076061,          0.00076061
                  93,            0.011295,           0.0075741,             0.00412,              0.9368,             0.96517,               0.995,             0.81634,            0.011707,            0.007827,           0.0039987,          0.00073227,          0.00073227,          0.00073227
                  94,            0.012318,           0.0070309,           0.0045407,             0.93719,             0.96401,               0.995,             0.81634,            0.011739,           0.0078349,           0.0039955,          0.00070392,          0.00070392,          0.00070392
                  95,            0.011118,           0.0070061,           0.0039172,               0.958,             0.91415,             0.99233,             0.81947,            0.011726,            0.007823,           0.0040341,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0099931,           0.0053909,            0.003972,             0.95876,             0.91345,             0.99233,             0.81945,            0.011715,            0.007825,           0.0040613,          0.00064723,          0.00064723,          0.00064723
                  97,            0.012392,           0.0084967,           0.0046047,             0.88993,             0.98653,             0.99233,             0.82945,            0.011744,           0.0078289,           0.0040329,          0.00061889,          0.00061889,          0.00061889
                  98,             0.01184,            0.006893,           0.0040147,             0.89167,             0.99399,             0.99233,             0.81948,             0.01176,           0.0078309,           0.0040059,          0.00059054,          0.00059054,          0.00059054
                  99,            0.011126,           0.0061826,           0.0038739,             0.94015,             0.96067,               0.995,             0.82136,            0.011703,           0.0078102,           0.0040034,           0.0005622,           0.0005622,           0.0005622
