               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.043539,            0.018158,             0.03843,             0.74294,               0.575,             0.74332,             0.53854,            0.040824,            0.015295,            0.038892,             0.00802,             0.00802,             0.00802
                  66,            0.039484,            0.014321,            0.037359,             0.50568,               0.675,             0.70918,             0.41288,            0.038402,            0.015015,            0.038855,           0.0079891,           0.0079891,           0.0079891
                  67,               0.036,            0.015833,            0.037151,             0.49619,               0.675,              0.6648,             0.44378,            0.048952,            0.015167,             0.03837,           0.0079581,           0.0079581,           0.0079581
                  68,            0.046275,            0.015385,            0.035405,             0.56089,               0.725,             0.76585,             0.50345,            0.038204,            0.014181,            0.038214,           0.0079272,           0.0079272,           0.0079272
                  69,            0.040669,            0.015139,            0.035035,             0.49744,               0.725,             0.67801,             0.40163,            0.042372,            0.015289,            0.037967,           0.0078963,           0.0078963,           0.0078963
                  70,            0.037721,            0.016822,            0.036563,             0.62768,               0.725,             0.79726,             0.55168,             0.03354,            0.014334,            0.037692,           0.0078653,           0.0078653,           0.0078653
                  71,            0.031276,            0.013494,             0.03633,             0.58443,              0.7471,             0.80814,              0.5032,            0.041687,            0.015223,            0.037372,           0.0078344,           0.0078344,           0.0078344
                  72,            0.042879,            0.016336,            0.037515,             0.54847,               0.725,             0.75692,             0.47283,            0.038574,            0.014503,             0.03717,           0.0078034,           0.0078034,           0.0078034
                  73,            0.040591,            0.016128,             0.03489,             0.90083,             0.47991,             0.76685,             0.47557,            0.039819,            0.014488,            0.037051,           0.0077725,           0.0077725,           0.0077725
                  74,            0.039408,              0.0147,            0.036374,             0.78451,             0.55015,             0.76136,             0.49967,            0.038714,            0.014668,            0.036951,           0.0077416,           0.0077416,           0.0077416
                  75,            0.033666,            0.014363,            0.034818,              0.7621,             0.54508,             0.74034,             0.48481,            0.043711,            0.014177,             0.03653,           0.0077106,           0.0077106,           0.0077106
                  76,            0.044056,            0.012728,            0.034381,             0.87119,             0.52085,             0.77378,             0.55592,            0.037014,            0.014111,            0.036163,           0.0076797,           0.0076797,           0.0076797
                  77,            0.040737,            0.015976,            0.034451,             0.60798,               0.775,              0.7868,             0.44362,            0.040649,            0.014441,             0.03587,           0.0076488,           0.0076488,           0.0076488
                  78,            0.038474,            0.015873,             0.03238,             0.83908,             0.50033,             0.79371,             0.49845,            0.036185,            0.014097,             0.03555,           0.0076178,           0.0076178,           0.0076178
                  79,            0.034164,            0.014624,            0.032714,             0.47613,               0.775,             0.77367,             0.36566,            0.044211,            0.015116,            0.035175,           0.0075869,           0.0075869,           0.0075869
